model_type,acc,time,sample_len
fast_text,0.8723404255319149,0.13278770446777344,30.0
lstm,0.8829787234042553,0.19606781005859375,30.0
gru,0.9148936170212766,0.217803955078125,30.0
rnn,0.9042553191489362,0.20479702949523926,30.0
cnn,0.9574468085106383,0.15372419357299805,30.0
gated_cnn,0.9468085106382979,0.21293950080871582,30.0
stack_gated_cnn,0.925531914893617,0.25736308097839355,30.0
rcnn,0.9148936170212766,0.20435428619384766,30.0
bert,0.9042553191489362,0.7469325065612793,30.0
bert_lstm,0.8723404255319149,1.199549913406372,30.0
bert_cnn,0.8936170212765957,0.8397197723388672,30.0
bert_mid_layer,0.8617021276595744,0.749624490737915,30.0
